revision_id,law_id,law_title,enforcement_date,promulgate_date,amendment_law_num,status,updated,first_seen
340AC0000000033_20170401_428AC0000000039,340AC0000000033,所得税法,2017-04-01,2016-05-18,平成二十八年法律第三十九号,PreviousEnforced,2024-06-06T17:11:58+09:00,2026-09-23
340AC0000000033_20170401_428AC0000000063,340AC0000000033,所得税法,2017-04-01,2016-06-03,平成二十八年法律第六十三号,PreviousEnforced,2024-06-06T17:12:40+09:00,2026-09-23
340AC0000000033_20170401_429AC0000000004,340AC0000000033,所得税法,2017-04-01,2017-03-31,平成二十九年法律第四号,PreviousEnforced,2024-06-06T17:13:09+09:00,2026-09-23
340AC0000000033_20170602_429AC0000000045,340AC0000000033,所得税法,2017-06-02,2017-06-02,平成二十九年法律第四十五号,PreviousEnforced,2024-06-06T17:20:24+09:00,2026-09-23
340AC0000000033_20171001_429AC0000000004,340AC0000000033,所得税法,2017-10-01,2017-03-31,平成二十九年法律第四号,PreviousEnforced,2024-06-06T17:27:12+09:00,2026-09-23
340AC0000000033_20171101_428AC0000000089,340AC0000000033,所得税法,2017-11-01,2016-11-28,平成二十八年法律第八十九号,PreviousEnforced,2024-06-06T17:27:15+09:00,2026-09-23
340AC0000000033_20180101_429AC0000000004,340AC0000000033,所得税法,2018-01-01,2017-03-31,平成二十九年法律第四号,PreviousEnforced,2024-06-06T17:33:34+09:00,2026-09-23
340AC0000000033_20180401_429AC0000000004,340AC0000000033,所得税法,2018-04-01,2017-03-31,平成二十九年法律第四号,PreviousEnforced,2024-06-06T17:36:57+09:00,2026-09-23
340AC0000000033_20180401_429AC0000000074,340AC0000000033,所得税法,2018-04-01,2017-06-23,平成二十九年法律第七十四号,PreviousEnforced,2024-06-06T17:38:30+09:00,2026-09-23
340AC0000000033_20180401_430AC0000000007,340AC0000000033,所得税法,2018-04-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-06T17:40:05+09:00,2026-09-23
340AC0000000033_20181116_430AC0000000007,340AC0000000033,所得税法,2018-11-16,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-06T17:41:50+09:00,2026-09-23
340AC0000000033_20190101_430AC0000000007,340AC0000000033,所得税法,2019-01-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-06T17:44:15+09:00,2026-09-23
340AC0000000033_20190401_430AC0000000007,340AC0000000033,所得税法,2019-04-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-06T17:45:14+09:00,2026-09-23
340AC0000000033_20190401_431AC0000000006,340AC0000000033,所得税法,2019-04-01,2019-03-29,平成三十一年法律第六号,PreviousEnforced,2024-06-06T17:45:58+09:00,2026-09-23
340AC0000000033_20190607_501AC0000000028,340AC0000000033,所得税法,2019-06-07,2019-06-07,令和元年法律第二十八号,PreviousEnforced,2024-06-07T17:53:32+09:00,2026-09-23
340AC0000000033_20190701_431AC0000000006,340AC0000000033,所得税法,2019-07-01,2019-03-29,平成三十一年法律第六号,PreviousEnforced,2024-06-07T18:01:27+09:00,2026-09-23
340AC0000000033_20191216_501AC0000000016,340AC0000000033,所得税法,2019-12-16,2019-05-31,令和元年法律第十六号,PreviousEnforced,2024-06-07T18:00:55+09:00,2026-09-23
340AC0000000033_20200101_430AC0000000007,340AC0000000033,所得税法,2020-01-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-07T18:03:00+09:00,2026-09-23
340AC0000000033_20200101_431AC0000000006,340AC0000000033,所得税法,2020-01-01,2019-03-29,平成三十一年法律第六号,PreviousEnforced,2024-06-07T18:08:33+09:00,2026-09-23
340AC0000000033_20200401_429AC0000000045,340AC0000000033,所得税法,2020-04-01,2017-06-02,平成二十九年法律第四十五号,PreviousEnforced,2024-06-07T18:06:56+09:00,2026-09-23
340AC0000000033_20200401_430AC0000000007,340AC0000000033,所得税法,2020-04-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-07T18:08:08+09:00,2026-09-23
340AC0000000033_20200401_431AC0000000006,340AC0000000033,所得税法,2020-04-01,2019-03-29,平成三十一年法律第六号,PreviousEnforced,2024-06-07T18:10:29+09:00,2026-09-23
340AC0000000033_20200401_502AC0000000008,340AC0000000033,所得税法,2020-04-01,2020-03-31,令和二年法律第八号,PreviousEnforced,2024-06-07T18:16:00+09:00,2026-09-23
340AC0000000033_20200501_501AC0000000028,340AC0000000033,所得税法,2020-05-01,2019-06-07,令和元年法律第二十八号,PreviousEnforced,2024-06-07T18:19:01+09:00,2026-09-23
340AC0000000033_20201001_430AC0000000007,340AC0000000033,所得税法,2020-10-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-07T18:23:24+09:00,2026-09-23
340AC0000000033_20210101_430AC0000000007,340AC0000000033,所得税法,2021-01-01,2018-03-31,平成三十年法律第七号,PreviousEnforced,2024-06-07T18:22:51+09:00,2026-09-23
340AC0000000033_20210101_502AC0000000008,340AC0000000033,所得税法,2021-01-01,2020-03-31,令和二年法律第八号,PreviousEnforced,2024-06-07T18:28:25+09:00,2026-09-23
340AC0000000033_20210401_503AC0000000011,340AC0000000033,所得税法,2021-04-01,2021-03-31,令和三年法律第十一号,PreviousEnforced,2024-06-07T18:29:53+09:00,2026-09-23
340AC0000000033_20210519_503AC0000000037,340AC0000000033,所得税法,2021-05-19,2021-05-19,令和三年法律第三十七号,PreviousEnforced,2024-06-07T18:27:55+09:00,2026-09-23
340AC0000000033_20210801_503AC0000000011,340AC0000000033,所得税法,2021-08-01,2021-03-31,令和三年法律第十一号,PreviousEnforced,2024-06-07T18:32:23+09:00,2026-09-23
340AC0000000033_20220101_502AC0000000008,340AC0000000033,所得税法,2022-01-01,2020-03-31,令和二年法律第八号,PreviousEnforced,2024-06-07T18:33:12+09:00,2026-09-23
340AC0000000033_20220101_503AC0000000011,340AC0000000033,所得税法,2022-01-01,2021-03-31,令和三年法律第十一号,PreviousEnforced,2024-06-07T18:34:38+09:00,2026-09-23
340AC0000000033_20220401_502AC0000000008,340AC0000000033,所得税法,2022-04-01,2020-03-31,令和二年法律第八号,PreviousEnforced,2024-06-07T18:35:05+09:00,2026-09-23
340AC0000000033_20220401_504AC0000000004,340AC0000000033,所得税法,2022-04-01,2022-03-31,令和四年法律第四号,PreviousEnforced,2023-01-27T15:32:05+09:00,2026-09-23
340AC0000000033_20220617_504AC0000000068,340AC0000000033,所得税法,2022-06-17,2022-06-17,令和四年法律第六十八号,PreviousEnforced,2023-01-27T15:39:20+09:00,2026-09-23
340AC0000000033_20221001_504AC0000000004,340AC0000000033,所得税法,2022-10-01,2022-03-31,令和四年法律第四号,PreviousEnforced,2023-06-12T19:28:51+09:00,2026-09-23
340AC0000000033_20221001_504AC1000000071,340AC0000000033,所得税法,2022-10-01,2022-06-17,令和四年法律第七十一号,PreviousEnforced,2023-01-27T15:47:26+09:00,2026-09-23
340AC0000000033_20230101_502AC0000000008,340AC0000000033,所得税法,2023-01-01,2020-03-31,令和二年法律第八号,PreviousEnforced,2023-06-12T19:31:45+09:00,2026-09-23
340AC0000000033_20230101_504AC0000000004,340AC0000000033,所得税法,2023-01-01,2022-03-31,令和四年法律第四号,PreviousEnforced,2023-06-12T19:34:37+09:00,2026-09-23
340AC0000000033_20230401_505AC0000000003,340AC0000000033,所得税法,2023-04-01,2023-03-31,令和五年法律第三号,PreviousEnforced,2023-05-11T00:04:30+09:00,2026-09-23
340AC0000000033_20230511_503AC0000000037,340AC0000000033,所得税法,2023-05-11,2021-05-19,令和三年法律第三十七号,PreviousEnforced,2023-06-12T19:39:28+09:00,2026-09-23
340AC0000000033_20230601_505AC0000000003,340AC0000000033,所得税法,2023-06-01,2023-03-31,令和五年法律第三号,PreviousEnforced,2023-06-20T16:52:43+09:00,2026-09-23
